,vote_average,count
0,8.0,101
1,5.4,145
2,7.0,383
3,6.1,405
4,7.7,201
5,6.6,444
6,3.7,6
7,5.7,248
8,8.6,8
9,3.9,8
10,8.7,3
11,4.5,28
12,6.7,441
13,7.4,350
14,6.5,432
15,8.4,38
16,4.9,50
17,4.1,8
18,2.2,1
19,2.8,1
20,7.5,321
21,4.0,7
22,6.2,401
23,5.1,66
24,4.2,19
25,7.3,348
26,4.3,14
27,7.9,154
28,5.3,130
29,4.7,35
30,8.5,20
31,3.2,4
32,7.2,379
33,7.6,242
34,6.9,387
35,8.2,71
36,6.8,427
37,7.8,172
38,6.3,421
39,5.9,357
40,4.8,39
41,4.4,23
42,5.2,87
43,4.6,20
44,6.4,446
45,6.0,352
46,5.0,54
47,8.3,49
48,5.8,271
49,5.5,198
50,3.3,1
51,7.1,379
52,8.1,86
53,5.6,182
